,FTSE100_Price,SNP500_Price_GBP,EURO50_Price_GBP,Nikkei_Price_GBP
2016-01-01,6083.79,1361.660432,2315.181927,10153.606679999999
2016-02-01,6097.09,1388.3072550000002,2300.925325,10217.0595
2016-03-01,6174.9,1433.785014,2380.205053,10361.885660999998
2016-04-01,6241.89,1413.0782600000002,2373.208177,10717.936754999999
2016-05-01,6230.79,1448.3702719999999,2354.5907279999997,10749.457026
2016-06-01,6504.33,1576.4537460000001,2389.479634,11322.136248
2016-07-01,6724.43,1643.2415999999998,2526.294972,12271.201362000002
2016-08-01,6781.51,1652.310045,2566.939683,12427.437660000001
2016-09-01,6899.33,1670.6520349999998,2599.639616,12505.168368
2016-10-01,6954.22,1736.2140900000002,2739.031625,13574.09058
2016-11-01,6783.79,1757.9485949999998,2582.5775430000003,12784.811584000001
2016-12-01,7142.83,1814.123949,2803.193988,13246.258409999999
2017-01-01,7099.15,1811.2458759999997,2772.2465079999997,13414.62403
2017-02-01,7263.44,1909.1120279999998,2835.278901,13689.19684
2017-03-01,7322.92,1881.6702079999998,2969.8389190000003,13518.229973999998
2017-04-01,7203.94,1840.3639799999999,2993.61519,13282.224406000001
2017-05-01,7519.95,1870.83326,3099.247021,13757.364056999999
2017-06-01,7312.72,1859.9671749999998,3017.496196,13678.826003999999
2017-07-01,7372.0,1869.2760100000003,3090.281624,13672.658516000001
2017-08-01,7430.62,1911.326945,3150.4895759999995,13811.30672
2017-09-01,7372.76,1880.450304,3169.21976,13504.356151999998
2017-10-01,7493.08,1938.6557280000002,3209.9007699999997,14580.490464
2017-11-01,7326.67,1957.0911359999998,3140.824414,14925.753728
2017-12-01,7687.77,1977.936678,3109.7644999999998,14942.906615999998
2018-01-01,7533.55,1989.374145,3158.12875,14898.397050000001
2018-02-01,7231.91,1971.868878,3046.574664,15030.678264000002
2018-03-01,7056.61,1883.732571,2954.0862,14397.98073
2018-04-01,7509.3,1922.4843,3100.820736,14918.66568
2018-05-01,7678.2,2033.551459,2993.4233550000004,15334.797074
2018-06-01,7636.93,2057.80609,3003.06864,15251.823937999998
2018-07-01,7748.76,2145.168093,3139.4488449999994,15352.317204
2018-08-01,7432.42,2237.652224,3035.6276300000004,15875.273645000001
2018-09-01,7510.2,2235.896854,3027.66744,16276.202991999999
2018-10-01,7128.1,2124.1059419999997,2832.674109,15199.646964
2018-11-01,6980.24,2163.1452289999997,2813.931684,15433.406930000001
2018-12-01,6728.13,1964.36766,2683.9945110000003,14310.56055
2019-01-01,6968.85,2062.41707,2757.866447,14547.675047000002
2019-02-01,7074.73,2099.227011,2826.938646,14471.337771999999
2019-03-01,7279.19,2174.55168,2884.146455,14674.42052
2019-04-01,7418.22,2259.746193,3023.276124,15322.909732
2019-05-01,7161.71,2177.705078,2902.196421,15053.289533
2019-06-01,7425.63,2316.9301760000003,3109.994657,15529.294007999999
2019-07-01,7586.78,2450.766474,3156.9136099999996,16270.276679999999
2019-08-01,7207.18,2406.7207040000003,3096.763012,16014.830194999999
2019-09-01,7408.21,2421.280316,3163.9604799999997,16371.2696
2019-10-01,7248.38,2346.818856,3104.8387740000003,16392.833599999998
2019-11-01,7346.53,2428.291638,3153.968728,16443.171069
2019-12-01,7542.44,2434.39273,3166.332609,16408.231632
2020-01-01,7286.01,2443.008848,3059.0925819999998,16211.138748
2020-02-01,6580.61,2303.996178,2863.0284509999997,15254.64564
2020-03-01,5671.96,2080.8534090000003,2474.48851,14159.381985
2020-04-01,5901.21,2312.1781770000002,2546.420721,14955.446813999999
2020-05-01,6076.6,2465.282238,2741.51976,16430.29539
2020-06-01,6169.74,2499.763827,2928.450385,16647.011766
2020-07-01,5897.76,2499.462792,2856.570568,15668.107
2020-08-01,5963.57,2617.181787,2920.7151750000003,16334.356583999997
2020-09-01,5866.1,2602.2894,2895.965548,17015.559568
2020-10-01,5577.27,2526.0441,2661.501537,16957.12194
2020-11-01,6266.19,2718.0333149999997,3126.521808,19018.98959
2020-12-01,6460.52,2746.062777,3189.0727110000003,19430.472359999996
2021-01-01,6407.46,2710.652352,3083.1632640000003,19278.616490999997
2021-02-01,6483.43,2734.88124,3150.6116159999997,19497.021331
2021-03-01,6713.63,2881.9344060000003,3334.071947,19115.03188
2021-04-01,6969.81,3025.912729,3456.831378,19076.842323
2021-05-01,7022.61,2957.5913849999997,3473.9356,18525.285352000003
2021-06-01,7037.47,3107.0924999999997,3483.51153,18734.648570999998
2021-07-01,7032.3,3161.070992,3490.6264800000004,17881.664886
2021-08-01,7119.7,3287.0838240000003,3601.3590619999995,18553.14117
2021-09-01,7086.42,3196.625434,3478.919952,19636.088421999997
2021-10-01,7237.57,3362.848476,3588.322752,18502.878675999997
2021-11-01,7059.45,3433.4706,3462.5397319999997,18479.212992
2021-12-01,7384.54,3521.730402,3617.0987999999998,18481.398649
2022-01-01,7464.37,3356.85987,3485.791,17435.178486
2022-02-01,7458.25,3258.5852999999997,3279.871434,17181.421314000003
2022-03-01,7515.68,3448.548092,3286.702344,17396.740179
2022-04-01,7544.55,3285.7107360000005,3187.937538,16441.653960000003
2022-05-01,7607.66,3278.4478099999997,3226.891236,16815.268719999996
2022-06-01,7169.28,3108.1755180000005,2973.598002,15962.510592
2022-07-01,7423.43,3394.272322,3113.69157,17148.051552
2022-08-01,7284.15,3402.091,3042.772975,17388.657069999997
2022-09-01,6893.81,3211.639834,2912.38414,16047.351827
2022-10-01,7094.53,3375.2049660000002,3116.51071,16166.251559999999
2022-11-01,7573.05,3383.635223,3420.760416,16798.175394
2022-12-01,7451.74,3172.9628000000002,3355.077528,16442.14445
2023-01-01,7771.7,3308.5685599999997,3670.49752,17043.918507000002
2023-02-01,7876.28,3301.973755,3728.0790480000005,16752.769824000003
2023-03-01,7631.74,3331.006686,3791.2029300000004,17113.715244
